Site,Start,End
B5_Coast,6/11/2019,9/7/2019
C3_Coast,6/11/2019,9/7/2019
R1_Coast,6/11/2019,9/7/2019
B1_Coast,6/5/2019,5/7/2019
C4_Coast,6/5/2019,5/7/2019
R2_Coast,6/5/2019,5/7/2019
R3_Coast,6/5/2019,9/7/2019
B2_Coast,6/4/2019,3/7/2019
B3_Coast,6/4/2019,3/7/2019
B4_Coast,6/4/2019,3/7/2019
C1_Coast,6/4/2019,3/7/2019
B4_Interior,5/29/2019,6/26/2019
C2_Interior,5/29/2019,6/26/2019
R2_Interior,5/29/2019,6/25/2019
B2_Interior,5/28/2019,6/25/2019
B3_Interior,5/28/2019,6/25/2019
B5_Interior,5/28/2019,6/25/2019
B6_Interior,5/28/2019,6/25/2019
C3_Interior,5/28/2019,6/25/2019
B1_Interior,5/27/2019,6/24/2019
C1_Interior,5/27/2019,6/24/2019
R1_Interior,5/27/2019,6/24/2019
