Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type,Region
6/11/2019,14.539625,19.187,15.21242857,B1Coast,Buffer,Coast
6/12/2019,16.23370833,20.234,15.10357143,B1Coast,Buffer,Coast
6/13/2019,16.27120833,20.519,16.24957143,B1Coast,Buffer,Coast
6/14/2019,13.609375,14.325,16.60757143,B1Coast,Buffer,Coast
6/15/2019,14.32683333,17.76,17.51171429,B1Coast,Buffer,Coast
6/16/2019,15.26145833,20.805,18.53328571,B1Coast,Buffer,Coast
6/17/2019,15.59583333,21.951,19.25442857,B1Coast,Buffer,Coast
6/18/2019,14.39691667,15.855,18.77842857,B1Coast,Buffer,Coast
6/19/2019,12.56820833,14.517,17.96171429,B1Coast,Buffer,Coast
6/20/2019,11.260125,11.722,16.705,B1Coast,Buffer,Coast
6/21/2019,12.14195833,14.517,16.73242857,B1Coast,Buffer,Coast
6/22/2019,11.88770833,12.304,15.953,B1Coast,Buffer,Coast
6/23/2019,11.378125,11.528,14.62771429,B1Coast,Buffer,Coast
6/24/2019,11.255375,12.304,13.24957143,B1Coast,Buffer,Coast
6/25/2019,12.38275,16.808,13.38571429,B1Coast,Buffer,Coast
6/26/2019,13.705875,18.14,13.90328571,B1Coast,Buffer,Coast
6/27/2019,11.603625,12.98,14.083,B1Coast,Buffer,Coast
6/28/2019,10.82570833,11.139,13.60042857,B1Coast,Buffer,Coast
6/29/2019,11.55629167,13.461,13.76571429,B1Coast,Buffer,Coast
6/30/2019,13.10975,15.473,14.32928571,B1Coast,Buffer,Coast
7/1/2019,14.30975,17.379,15.05428571,B1Coast,Buffer,Coast
7/2/2019,13.01533333,14.23,14.686,B1Coast,Buffer,Coast
7/3/2019,12.30329167,12.69,13.90742857,B1Coast,Buffer,Coast
6/11/2019,11.26325,12.11,10.747,B2Coast,Buffer,Coast
6/12/2019,12.21804167,12.98,11.06585714,B2Coast,Buffer,Coast
6/13/2019,12.460875,12.98,11.42657143,B2Coast,Buffer,Coast
6/14/2019,11.60883333,11.916,11.67728571,B2Coast,Buffer,Coast
6/15/2019,11.855375,12.304,11.98342857,B2Coast,Buffer,Coast
6/16/2019,12.06929167,12.594,12.289,B2Coast,Buffer,Coast
6/17/2019,12.282875,13.076,12.56571429,B2Coast,Buffer,Coast
6/18/2019,12.227125,12.497,12.621,B2Coast,Buffer,Coast
6/19/2019,11.43475,11.819,12.45514286,B2Coast,Buffer,Coast
6/20/2019,11.04520833,11.236,12.206,B2Coast,Buffer,Coast
6/21/2019,11.243875,11.722,12.17828571,B2Coast,Buffer,Coast
6/22/2019,11.22004167,11.334,12.03971429,B2Coast,Buffer,Coast
6/23/2019,11.06975,11.236,11.84571429,B2Coast,Buffer,Coast
6/24/2019,10.94754167,11.236,11.58285714,B2Coast,Buffer,Coast
6/25/2019,11.14995833,12.013,11.51371429,B2Coast,Buffer,Coast
6/26/2019,11.65254167,12.883,11.66571429,B2Coast,Buffer,Coast
6/27/2019,11.491625,12.11,11.79057143,B2Coast,Buffer,Coast
6/28/2019,11.337875,11.722,11.79057143,B2Coast,Buffer,Coast
6/29/2019,11.30891667,11.722,11.846,B2Coast,Buffer,Coast
6/30/2019,11.64095833,12.11,11.97085714,B2Coast,Buffer,Coast
7/1/2019,12.07758333,12.594,12.16485714,B2Coast,Buffer,Coast
7/2/2019,12.000875,12.207,12.19257143,B2Coast,Buffer,Coast
7/3/2019,7.311583333,14.038,12.35757143,B2Coast,Buffer,Coast
6/11/2019,19.36967593,29.95277778,18.93801587,B3Coast,Buffer,Coast
6/12/2019,22.23333333,33.32611111,21.42015873,B3Coast,Buffer,Coast
6/13/2019,19.84921296,31.77777778,23.72214286,B3Coast,Buffer,Coast
6/14/2019,12.36379629,15.95111111,24.36785714,B3Coast,Buffer,Coast
6/15/2019,15.15231482,19.37722222,25.14428572,B3Coast,Buffer,Coast
6/16/2019,17.29106482,29.25222222,26.0915873,B3Coast,Buffer,Coast
6/17/2019,17.72888889,28.85277778,26.92714286,B3Coast,Buffer,Coast
6/18/2019,14.21034722,17.95,25.21246032,B3Coast,Buffer,Coast
6/19/2019,10.57493056,14.61277778,22.53912698,B3Coast,Buffer,Coast
6/20/2019,9.976828706,13.26888889,19.895,B3Coast,Buffer,Coast
6/21/2019,12.33780093,17.09388889,20.05825397,B3Coast,Buffer,Coast
6/22/2019,10.78736111,12.20722222,19.03396826,B3Coast,Buffer,Coast
6/23/2019,10.296875,12.30388889,16.61277778,B3Coast,Buffer,Coast
6/24/2019,10.54907407,14.325,14.53738095,B3Coast,Buffer,Coast
6/25/2019,14.00282407,23.96611111,15.39682539,B3Coast,Buffer,Coast
6/26/2019,15.57986111,26.97722222,17.16317461,B3Coast,Buffer,Coast
6/27/2019,10.92851852,12.88277778,17.10801587,B3Coast,Buffer,Coast
6/28/2019,10.76060185,13.07611111,16.53404762,B3Coast,Buffer,Coast
6/29/2019,12.91891204,17.665,17.31373016,B3Coast,Buffer,Coast
6/30/2019,15.678125,25.90222222,19.25634921,B3Coast,Buffer,Coast
7/1/2019,17.44673611,29.35222222,21.40309524,B3Coast,Buffer,Coast
7/2/2019,11.88997685,13.17277778,19.86119048,B3Coast,Buffer,Coast
7/3/2019,9.034097222,18.99611111,18.72103174,B3Coast,Buffer,Coast
6/11/2019,11.62304167,12.69,10.31057143,B4Coast,Buffer,Coast
6/12/2019,13.18366667,14.038,10.87842857,B4Coast,Buffer,Coast
6/13/2019,13.56558333,13.942,11.47471429,B4Coast,Buffer,Coast
6/14/2019,12.061375,12.69,11.97671429,B4Coast,Buffer,Coast
6/15/2019,12.202375,12.883,12.47814286,B4Coast,Buffer,Coast
6/16/2019,12.577,13.269,12.93614286,B4Coast,Buffer,Coast
6/17/2019,12.87075,13.558,13.29571429,B4Coast,Buffer,Coast
6/18/2019,12.569625,13.076,13.35085714,B4Coast,Buffer,Coast
6/19/2019,11.25208333,12.013,13.06157143,B4Coast,Buffer,Coast
6/20/2019,10.463125,10.748,12.60528571,B4Coast,Buffer,Coast
6/21/2019,10.67870833,11.334,12.41157143,B4Coast,Buffer,Coast
6/22/2019,10.76875,11.041,12.14842857,B4Coast,Buffer,Coast
6/23/2019,10.5285,10.651,11.77442857,B4Coast,Buffer,Coast
6/24/2019,10.29575,10.651,11.35914286,B4Coast,Buffer,Coast
6/25/2019,10.747375,11.528,11.138,B4Coast,Buffer,Coast
6/26/2019,11.46216667,12.207,11.16571429,B4Coast,Buffer,Coast
6/27/2019,10.74408333,11.431,11.26328571,B4Coast,Buffer,Coast
6/28/2019,10.30391667,10.553,11.15171429,B4Coast,Buffer,Coast
6/29/2019,10.42595833,11.041,11.15171429,B4Coast,Buffer,Coast
6/30/2019,11.26745833,12.11,11.36014286,B4Coast,Buffer,Coast
7/1/2019,12.01675,12.594,11.63771429,B4Coast,Buffer,Coast
7/2/2019,11.637125,12.304,11.74857143,B4Coast,Buffer,Coast
7/3/2019,9.584208333,17.284,12.47385714,B4Coast,Buffer,Coast
6/11/2019,20.06708333,30.862,22.32385714,B5Coast,Buffer,Coast
6/12/2019,15.11766667,16.618,21.58928571,B5Coast,Buffer,Coast
6/13/2019,15.51675,16.427,20.97742857,B5Coast,Buffer,Coast
6/14/2019,13.86566667,14.9,20.17471429,B5Coast,Buffer,Coast
6/15/2019,14.18870833,15.378,19.39942857,B5Coast,Buffer,Coast
6/16/2019,14.37225,15.569,18.665,B5Coast,Buffer,Coast
6/17/2019,14.49191667,15.664,17.91685714,B5Coast,Buffer,Coast
6/18/2019,14.58083333,15.091,15.66385714,B5Coast,Buffer,Coast
6/19/2019,13.14420833,14.038,15.29528571,B5Coast,Buffer,Coast
