Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type,,
6/22/2018,13.32458333,14.23,17.49985714,6Coast,Clearcut,,
6/23/2018,13.051125,14.134,17.145,6Coast,Clearcut,,
6/24/2018,14.45645833,19.282,17.33528571,6Coast,Clearcut,,
6/25/2018,13.27179167,15.282,16.791,6Coast,Clearcut,,
6/26/2018,12.7875,15.091,16.11071429,6Coast,Clearcut,,
6/27/2018,13.00754167,15.855,15.662,6Coast,Clearcut,,
6/28/2018,12.02504167,12.497,15.19585714,6Coast,Clearcut,,
6/29/2018,11.89554167,12.69,14.97585714,6Coast,Clearcut,,
6/30/2018,11.76645833,12.11,14.68671429,6Coast,Clearcut,,
7/1/2018,12.04454167,13.173,13.814,6Coast,Clearcut,,
7/2/2018,12.304125,15.187,13.80042857,6Coast,Clearcut,,
7/3/2018,11.97491667,15.378,13.84142857,6Coast,Clearcut,,
7/4/2018,13.56516667,17.189,14.032,6Coast,Clearcut,,
7/5/2018,15.89991667,20.138,15.12357143,6Coast,Clearcut,,
7/6/2018,15.427875,18.045,15.88857143,6Coast,Clearcut,,
7/7/2018,13.47304167,14.325,16.205,6Coast,Clearcut,,
7/8/2018,13.33720833,15.282,16.50628571,6Coast,Clearcut,,
7/9/2018,13.33566667,14.517,16.41057143,6Coast,Clearcut,,
7/10/2018,12.822875,13.173,16.09557143,6Coast,Clearcut,,
7/11/2018,14.02820833,16.523,16.00042857,6Coast,Clearcut,,
7/12/2018,14.806125,17.95,15.68785714,6Coast,Clearcut,,
7/13/2018,15.26129167,18.711,15.783,6Coast,Clearcut,,
7/14/2018,15.32366667,19.092,16.464,6Coast,Clearcut,,
7/15/2018,15.57433333,19.662,17.08971429,6Coast,Clearcut,,
7/16/2018,15.68916667,19.853,17.852,6Coast,Clearcut,,
7/17/2018,16.01291667,20.043,18.83342857,6Coast,Clearcut,,
6/22/2018,12.18266667,12.594,15.56442857,14Coast,Buffer,,
6/23/2018,11.709875,12.207,15.23442857,14Coast,Buffer,,
6/24/2018,13.282,16.713,15.38428571,14Coast,Buffer,,
6/25/2018,12.59283333,14.134,14.93428571,14Coast,Buffer,,
6/26/2018,11.55991667,12.11,14.12714286,14Coast,Buffer,,
6/27/2018,12.04495833,14.23,13.718,14Coast,Buffer,,
6/28/2018,11.170875,11.916,13.41485714,14Coast,Buffer,,
6/29/2018,10.972,11.334,13.23485714,14Coast,Buffer,,
6/30/2018,11.06970833,11.236,13.09614286,14Coast,Buffer,,
7/1/2018,10.97595833,11.528,12.35542857,14Coast,Buffer,,
7/2/2018,10.70316667,11.431,11.96928571,14Coast,Buffer,,
7/3/2018,10.98429167,12.497,12.02457143,14Coast,Buffer,,
7/4/2018,12.28920833,14.804,12.10657143,14Coast,Buffer,,
7/5/2018,13.92125,17.094,12.84628571,14Coast,Buffer,,
7/6/2018,13.98466667,15.664,13.46485714,14Coast,Buffer,,
7/7/2018,12.56533333,13.365,13.769,14Coast,Buffer,,
7/8/2018,12.62570833,14.517,14.196,14Coast,Buffer,,
7/9/2018,12.77708333,14.038,14.56842857,14Coast,Buffer,,
7/10/2018,12.19470833,12.69,14.596,14Coast,Buffer,,
7/11/2018,13.359625,16.141,14.787,14Coast,Buffer,,
7/12/2018,14.07329167,16.808,14.74614286,14Coast,Buffer,,
7/13/2018,14.434125,17.379,14.99114286,14Coast,Buffer,,
7/14/2018,14.43754167,17.855,15.63257143,14Coast,Buffer,,
7/15/2018,14.712625,18.331,16.17742857,14Coast,Buffer,,
7/16/2018,14.83995833,18.806,16.85857143,14Coast,Buffer,,
7/17/2018,15.08391667,18.616,17.70514286,14Coast,Buffer,,
6/22/2018,14.50483333,15.473,19.731,20Coast,Clearcut,,
6/23/2018,13.72504167,14.517,19.19971429,20Coast,Clearcut,,
6/24/2018,16.12975,20.805,19.30857143,20Coast,Clearcut,,
6/25/2018,14.21158333,16.808,18.71028571,20Coast,Clearcut,,
6/26/2018,13.062625,14.325,17.71642857,20Coast,Clearcut,,
6/27/2018,13.89545833,18.616,17.33557143,20Coast,Clearcut,,
6/28/2018,12.20670833,12.787,16.19014286,20Coast,Clearcut,,
6/29/2018,12.20216667,13.269,15.87528571,20Coast,Clearcut,,
6/30/2018,12.40004167,13.365,15.71071429,20Coast,Clearcut,,
7/1/2018,12.14204167,12.98,14.59285714,20Coast,Clearcut,,
7/2/2018,11.73325,13.173,14.07357143,20Coast,Clearcut,,
7/3/2018,13.57225,17.855,14.57785714,20Coast,Clearcut,,
7/4/2018,15.19895833,19.472,14.70014286,20Coast,Clearcut,,
7/5/2018,17.00670833,21.855,15.99557143,20Coast,Clearcut,,
7/6/2018,16.37366667,18.996,16.81371429,20Coast,Clearcut,,
7/7/2018,14.36033333,16.808,17.30557143,20Coast,Clearcut,,
7/8/2018,15.05220833,18.426,18.08357143,20Coast,Clearcut,,
7/9/2018,14.801125,17.855,18.75242857,20Coast,Clearcut,,
7/10/2018,13.74954167,14.613,18.28928571,20Coast,Clearcut,,
7/11/2018,15.93479167,20.519,18.43885714,20Coast,Clearcut,,
7/12/2018,16.92704167,21.664,18.41157143,20Coast,Clearcut,,
7/13/2018,17.345125,22.142,18.861,20Coast,Clearcut,,
7/14/2018,17.23745833,22.142,19.623,20Coast,Clearcut,,
7/15/2018,17.53525,22.621,20.22228571,20Coast,Clearcut,,
7/16/2018,17.8495,23.004,20.95785714,20Coast,Clearcut,,
7/17/2018,16.046,16.046,21.16257143,20Coast,Clearcut,,
6/22/2018,11.722,11.916,11.99814286,23Coast,Buffer,,
6/23/2018,11.54416667,11.722,12.13728571,23Coast,Buffer,,
6/24/2018,11.73008333,12.11,12.23428571,23Coast,Buffer,,
6/25/2018,11.71795833,11.819,12.19271429,23Coast,Buffer,,
6/26/2018,11.42283333,11.625,12.08185714,23Coast,Buffer,,
6/27/2018,11.36175,11.625,11.91585714,23Coast,Buffer,,
6/28/2018,11.22816667,11.431,11.74971429,23Coast,Buffer,,
6/29/2018,11.11433333,11.236,11.65257143,23Coast,Buffer,,
6/30/2018,11.20366667,11.236,11.58314286,23Coast,Buffer,,
7/1/2018,11.24041667,11.431,11.48614286,23Coast,Buffer,,
