Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
6/11/2019,14.539625,19.187,15.21242857,B1Coast,Buffer
6/12/2019,16.23370833,20.234,15.10357143,B1Coast,Buffer
6/13/2019,16.27120833,20.519,16.24957143,B1Coast,Buffer
6/14/2019,13.609375,14.325,16.60757143,B1Coast,Buffer
6/15/2019,14.32683333,17.76,17.51171429,B1Coast,Buffer
6/16/2019,15.26145833,20.805,18.53328571,B1Coast,Buffer
6/17/2019,15.59583333,21.951,19.25442857,B1Coast,Buffer
6/18/2019,14.39691667,15.855,18.77842857,B1Coast,Buffer
6/19/2019,12.56820833,14.517,17.96171429,B1Coast,Buffer
6/20/2019,11.260125,11.722,16.705,B1Coast,Buffer
6/21/2019,12.14195833,14.517,16.73242857,B1Coast,Buffer
6/22/2019,11.88770833,12.304,15.953,B1Coast,Buffer
6/23/2019,11.378125,11.528,14.62771429,B1Coast,Buffer
6/24/2019,11.255375,12.304,13.24957143,B1Coast,Buffer
6/25/2019,12.38275,16.808,13.38571429,B1Coast,Buffer
6/26/2019,13.705875,18.14,13.90328571,B1Coast,Buffer
6/27/2019,11.603625,12.98,14.083,B1Coast,Buffer
6/28/2019,10.82570833,11.139,13.60042857,B1Coast,Buffer
6/29/2019,11.55629167,13.461,13.76571429,B1Coast,Buffer
6/30/2019,13.10975,15.473,14.32928571,B1Coast,Buffer
7/1/2019,14.30975,17.379,15.05428571,B1Coast,Buffer
7/2/2019,13.01533333,14.23,14.686,B1Coast,Buffer
7/3/2019,12.30329167,12.69,13.90742857,B1Coast,Buffer
6/11/2019,14.539625,19.187,NA,B2Coast,Buffer
6/12/2019,16.23370833,20.234,NA,B2Coast,Buffer
6/13/2019,16.27120833,20.519,NA,B2Coast,Buffer
6/14/2019,13.609375,14.325,NA,B2Coast,Buffer
6/15/2019,14.32683333,17.76,NA,B2Coast,Buffer
6/16/2019,15.26145833,20.805,NA,B2Coast,Buffer
6/17/2019,15.59583333,21.951,19.25442857,B2Coast,Buffer
6/18/2019,14.39691667,15.855,18.77842857,B2Coast,Buffer
6/19/2019,12.56820833,14.517,17.96171429,B2Coast,Buffer
6/20/2019,11.260125,11.722,16.705,B2Coast,Buffer
6/21/2019,12.14195833,14.517,16.73242857,B2Coast,Buffer
6/22/2019,11.88770833,12.304,15.953,B2Coast,Buffer
6/23/2019,11.378125,11.528,14.62771429,B2Coast,Buffer
6/24/2019,11.255375,12.304,13.24957143,B2Coast,Buffer
6/25/2019,12.38275,16.808,13.38571429,B2Coast,Buffer
6/26/2019,13.705875,18.14,13.90328571,B2Coast,Buffer
6/27/2019,11.603625,12.98,14.083,B2Coast,Buffer
6/28/2019,10.82570833,11.139,13.60042857,B2Coast,Buffer
6/29/2019,11.55629167,13.461,13.76571429,B2Coast,Buffer
6/30/2019,13.10975,15.473,14.32928571,B2Coast,Buffer
7/1/2019,14.30975,17.379,15.05428571,B2Coast,Buffer
7/2/2019,13.01533333,14.23,14.686,B2Coast,Buffer
7/3/2019,12.30329167,12.69,13.90742857,B2Coast,Buffer
6/11/2019,66.86541667,85.915,66.08842857,B3Coast,Buffer
6/12/2019,72.02,91.987,70.55628571,B3Coast,Buffer
6/13/2019,67.72858333,89.2,74.69985714,B3Coast,Buffer
6/14/2019,54.25483333,60.712,75.86214286,B3Coast,Buffer
6/15/2019,59.27416667,66.879,77.25971429,B3Coast,Buffer
6/16/2019,63.12391667,84.654,78.96485714,B3Coast,Buffer
6/17/2019,63.912,83.935,80.46885714,B3Coast,Buffer
6/18/2019,57.578625,64.31,77.38242857,B3Coast,Buffer
6/19/2019,51.034875,58.303,72.57042857,B3Coast,Buffer
