Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
7/6/2018,14.64983333,21.855,20.70871429,9Interior,Clearcut
7/7/2018,10.41641667,23.677,21.96257143,9Interior,Clearcut
7/8/2018,11.99025,29.953,22.749,9Interior,Clearcut
7/9/2018,14.347375,26.488,24.94171429,9Interior,Clearcut
7/10/2018,11.18141667,18.331,25.37728571,9Interior,Clearcut
7/11/2018,12.927375,26.781,26.13557143,9Interior,Clearcut
7/12/2018,15.95545833,34.585,25.95285714,9Interior,Clearcut
7/13/2018,16.90229167,34.479,27.75628571,9Interior,Clearcut
7/14/2018,14.71279167,30.154,28.68157143,9Interior,Clearcut
7/15/2018,15.13175,35.328,29.44942857,9Interior,Clearcut
7/16/2018,17.249875,36.511,30.88128571,9Interior,Clearcut
7/17/2018,18.39770833,35.435,33.32471429,9Interior,Clearcut
7/18/2018,16.51579167,33.014,34.21514286,9Interior,Clearcut
7/19/2018,13.467875,29.452,33.48185714,9Interior,Clearcut
7/20/2018,10.85320833,24.738,32.09028571,9Interior,Clearcut
7/21/2018,9.8945,21.855,30.90471429,9Interior,Clearcut
7/22/2018,14.06225,31.574,30.36842857,9Interior,Clearcut
7/23/2018,15.60854167,33.535,29.94328571,9Interior,Clearcut
7/24/2018,14.80670833,27.961,28.87557143,9Interior,Clearcut
7/25/2018,15.81841667,32.704,28.83128571,9Interior,Clearcut
7/26/2018,17.697125,31.268,29.09071429,9Interior,Clearcut
7/27/2018,16.57195833,32.394,30.18442857,9Interior,Clearcut
7/28/2018,17.15333333,35.009,32.06357143,9Interior,Clearcut
7/29/2018,18.46570833,36.946,32.831,9Interior,Clearcut
7/30/2018,19.27379167,38.046,33.47542857,9Interior,Clearcut
7/31/2018,18.476375,38.157,34.932,9Interior,Clearcut
8/1/2018,17.585625,34.691,35.21585714,9Interior,Clearcut
8/2/2018,13.93695833,30.255,35.07114286,9Interior,Clearcut
8/3/2018,10.11966667,17.95,33.00771429,9Interior,Clearcut
8/4/2018,11.79845833,26.585,31.80428571,9Interior,Clearcut
8/5/2018,13.907625,31.166,30.97857143,9Interior,Clearcut
8/6/2018,16.738125,32.188,30.14171429,9Interior,Clearcut
8/7/2018,7.882,7.882,25.81671429,9Interior,Clearcut
7/6/2018,15.38629167,19.282,17.46,11Interior,Buffer
7/7/2018,14.36525,20.805,18.413,11Interior,Buffer
7/8/2018,14.041375,22.238,19.54342857,11Interior,Buffer
7/9/2018,14.241125,20.615,20.55157143,11Interior,Buffer
7/10/2018,14.10370833,20.424,21.00014286,11Interior,Buffer
7/11/2018,13.695375,20.996,21.27214286,11Interior,Buffer
7/12/2018,14.4285,25.028,21.34114286,11Interior,Buffer
7/13/2018,15.05141667,25.902,22.28685714,11Interior,Buffer
7/14/2018,12.965625,24.062,22.75214286,11Interior,Buffer
7/15/2018,12.813375,25.708,23.24785714,11Interior,Buffer
7/16/2018,14.82054167,27.37,24.21285714,11Interior,Buffer
7/17/2018,16.113625,27.665,25.24728571,11Interior,Buffer
