Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
6/3/2019,10.231,12.497,NA,B1Interior,Buffer
6/4/2019,8.90175,12.69,NA,B1Interior,Buffer
6/5/2019,8.243166667,9.571,NA,B1Interior,Buffer
6/6/2019,7.941333333,10.748,NA,B1Interior,Buffer
6/7/2019,7.030541667,8.481,NA,B1Interior,Buffer
6/8/2019,7.393458333,10.063,NA,B1Interior,Buffer
6/9/2019,7.36125,10.846,10.69942857,B1Interior,Buffer
6/10/2019,7.7355,10.651,10.43571429,B1Interior,Buffer
6/11/2019,8.923708333,13.173,10.50471429,B1Interior,Buffer
6/12/2019,9.765291667,11.916,10.83971429,B1Interior,Buffer
6/13/2019,10.68583333,17.189,11.75985714,B1Interior,Buffer
6/14/2019,10.07375,12.787,12.375,B1Interior,Buffer
6/15/2019,9.680541667,13.173,12.81928571,B1Interior,Buffer
6/16/2019,10.36470833,15.091,13.42571429,B1Interior,Buffer
6/17/2019,10.671,17.284,14.37328571,B1Interior,Buffer
6/18/2019,10.7185,18.331,15.11014286,B1Interior,Buffer
6/19/2019,8.355958333,9.275,14.73285714,B1Interior,Buffer
6/20/2019,7.212,8.68,13.51728571,B1Interior,Buffer
6/21/2019,8.032625,9.571,13.05785714,B1Interior,Buffer
6/22/2019,8.595583333,9.669,12.55728571,B1Interior,Buffer
6/23/2019,9.063625,15.569,12.62557143,B1Interior,Buffer
6/24/2019,11.885625,20.901,13.14228571,B1Interior,Buffer
6/3/2019,8.022583333,8.779,NA,B2Interior,Buffer
6/4/2019,6.856375,8.082,NA,B2Interior,Buffer
6/5/2019,6.537958333,7.179,NA,B2Interior,Buffer
6/6/2019,6.333625,7.481,NA,B2Interior,Buffer
6/7/2019,5.29825,6.877,NA,B2Interior,Buffer
6/8/2019,5.452083333,6.268,NA,B2Interior,Buffer
6/9/2019,5.539833333,6.877,7.363285714,B2Interior,Buffer
6/10/2019,5.883125,6.573,7.048142857,B2Interior,Buffer
6/11/2019,6.985208333,8.382,7.091,B2Interior,Buffer
6/12/2019,7.849416667,8.978,7.348,B2Interior,Buffer
6/13/2019,8.577291667,9.866,7.688714286,B2Interior,Buffer
6/14/2019,8.45775,9.571,8.073571429,B2Interior,Buffer
6/15/2019,8.201125,9.176,8.489,B2Interior,Buffer
6/16/2019,8.367458333,9.373,8.845571429,B2Interior,Buffer
6/17/2019,8.668875,9.768,9.302,B2Interior,Buffer
6/18/2019,8.728791667,9.571,9.471857143,B2Interior,Buffer
6/19/2019,7.044083333,7.983,9.329714286,B2Interior,Buffer
6/20/2019,6.170166667,6.471,8.844714286,B2Interior,Buffer
6/21/2019,6.785666667,7.682,8.574857143,B2Interior,Buffer
6/22/2019,7.4595,8.182,8.432857143,B2Interior,Buffer
6/23/2019,7.484708333,8.182,8.262714286,B2Interior,Buffer
6/24/2019,7.140791667,7.782,7.979,B2Interior,Buffer
6/3/2019,6.696833333,7.682,NA,B3Interior,Buffer
6/4/2019,5.475333333,6.978,NA,B3Interior,Buffer
6/5/2019,5.203875,6.064,NA,B3Interior,Buffer
6/6/2019,4.969833333,6.573,NA,B3Interior,Buffer
6/7/2019,3.816333333,5.037,NA,B3Interior,Buffer
6/8/2019,3.622166667,5.037,NA,B3Interior,Buffer
6/9/2019,3.946291667,4.934,6.043571429,B3Interior,Buffer
6/10/2019,4.529458333,5.347,5.71,B3Interior,Buffer
6/11/2019,5.805083333,7.582,5.796285714,B3Interior,Buffer
6/12/2019,6.757208333,8.182,6.098857143,B3Interior,Buffer
6/13/2019,7.601541667,9.275,6.484857143,B3Interior,Buffer
6/14/2019,7.331,8.978,7.047857143,B3Interior,Buffer
6/15/2019,7.1845,8.481,7.539857143,B3Interior,Buffer
6/16/2019,7.5485,9.965,8.258571429,B3Interior,Buffer
