,,Site,DailyTemp,DailyTemp_sd,DailyMax_mean,Dialymax_sd,Tmax7d_mean,Tmax7d_sd,,CheckwithA,,,,,,,Check with Megasheet
B1_C,Coast,,,,,,,,,,,Coast,B1_C,9,,,
B1_I,Interior,11Interior,14.31426389,2.195977046,24.99327273,4.671779227,24.86591775,3.182702822,,,,Interior,B1_I,Site 11 Interior,,,
B2_C,Coast,14Coast,12.71335737,1.377878051,14.53992308,2.529519337,14.28857143,1.477884505,,,,Coast,B2_C,14,,,
B2_I,Interior,15Interior,10.70060227,1.752768194,13.93012121,4.637673715,13.14274026,4.004659771,,,,Interior,B2_I,Site 15 Interior,,,
B3_C,Coast,23Coast,12.0211875,0.835142541,12.32384615,0.932958035,12.14112637,0.594466945,,,,Coast,B3_C,23,,,
B3_I,Interior,22Interior,12.61728662,3.163733376,27.999,13.04002018,27.74060476,10.9303952,,,,Interior,B3_I,Site 22,,,
B4_C,Coast,24Coast,12.13171635,1.397141794,12.69596154,1.507002946,12.55160989,0.986570804,,,,Coast,B4_C,24,,,
B4_I,Interior,29Interior,8.932657828,1.034796016,9.745333333,1.086456703,9.530203463,1.054017092,,,,Interior,B4_I,Site 29,,,
B5_C,Coast,GstreamCoast_Water,14.28546635,1.384804292,15.20138462,1.658439365,15.21822981,1.42588898,,,,Coast,B5_C,G,,,
B5_I,Interior,23Interior,9.506911616,1.091836631,11.71360606,1.679763208,11.85326984,1.016673968,,,,Interior,B5_I,Buffer 6/ Site 23,,,
B6_I,Interior,20Interior,9.893376263,0.91256105,12.34133333,1.513927997,12.50303175,0.990729587,,,,Interior,B6_I,Buffer 5/ Site 20,,,
C1_C,Coast,27Coast,11.78049359,1.493702855,13.18880769,2.098418452,13.05345055,1.216424603,,,,Coast,C1_C,27,,,
C1_I,Interior,9Interior,14.68171465,2.908821072,29.72566667,6.661983764,29.73468831,3.830155851,,,,Interior,C1_I,Site 9 Interior,,,
C2_C,Coast,20Coast,14.81551763,1.895556068,17.69753846,3.430941891,17.7169011,2.017303937,,,,Coast,C2_C,20,,,
C2_I,Interior,25Interior,16.09325379,4.506216195,30.75615152,14.8432174,27.72181385,14.00068485,,,,Interior,C2_I,Site 25,,,
C3_C,Coast,6Coast,13.71027244,1.389176322,16.13123077,2.588585055,15.95500549,1.29421238,,,,Coast,C3_C,6,,,
C3_I,Interior,21Interior,9.947127525,1.003183801,13.09666667,1.890262261,12.84665801,1.567499679,,,,Interior,C3_I,Site 21 Interior,,,
C4_C,Coast,MothertreeCoast,12.13171635,1.397141794,12.69596154,1.507002946,12.37632857,1.052363388,,,,Coast,C4_C,Mother Tree,,,
R1_C,Coast,SpringCoast,11.88170994,0.968936034,12.36011538,1.106003122,12.22791209,0.738093911,,,,Coast,R1_C,Spring,,,
R1_I,Interior,R1Interior,10.20481439,1.095194108,11.99636364,2.041867892,11.9355468,1.729623123,,,,Interior,R1_I,R1 Interior,,,
R2_C,Coast,EastCreekCoast,12.13171635,1.397141794,12.69596154,1.507002946,12.37632857,1.052363388,,,,Coast,R2_C,East,,,
R2_I,Interior,R2Interior,9.163348485,0.935926444,10.56854545,1.207261159,10.64703571,0.808765526,,,,Interior,R2_I,R2 Interior,,,
R3_C,Coast,GriffithsCoast,13.48711378,2.029480368,16.62457692,4.518023215,15.92968323,2.132754697,,,,Coast,R3_C,Griffiths,,,
R3_I,Interior,R3Interior,10.20716162,1.599957945,12.9530303,2.664182479,13.22480952,1.830457624,,,,Interior,R3_I,R3 Interior,,,
,,Site,DayT_Mean,DayT_Mean1,DayT_Max,DayT_Max1,Tmax_7daymean,Tmax_7daymean1,,,,,,,,,
